"Name","Location","Type","Param Count","Function Name","Data Type","Preview"
"??0TGUIStyle@Toshi@@IAE@ABV01@@Z","10018780","Function","2","Toshi::TGUIStyle::TGUIStyle","","??0TGUIStyle@Toshi@@IAE@ABV01@@Z"
"Ordinal_496","100189b0","Function","2","Toshi::TGUIStyle::FindFixedWidgetPropertyPair","","Ordinal_496"
"FindFixedWidgetPropertyPair","100189b0","Function","2","Toshi::TGUIStyle::FindFixedWidgetPropertyPair","TGUIPairNode<class_Toshi::TPCString\,class_PPropertyValue> *","TGUIPairNode<class_Toshi::TPCString\,class_PPropertyValue> * FindFixedWidgetPropertyPair(TGUIStyle * this\, TPCString * param_1)"
"?FindFixedWidgetPropertyPair@TGUIStyle@Toshi@@IBEPAU?$TGUIPairNode@VTPCString@Toshi@@VPPropertyValue@@@2@ABVTPCString@2@@Z","100189b0","Function","2","Toshi::TGUIStyle::FindFixedWidgetPropertyPair","","?FindFixedWidgetPropertyPair@TGUIStyle@Toshi@@IBEPAU?$TGUIPairNode@VTPCString@Toshi@@VPPropertyValue@@@2@ABVTPCString@2@@Z"
"Ordinal_1166","100189e0","Function","1","Toshi::TGUIStyle::UpdateDependentWidgets","","Ordinal_1166"
"UpdateDependentWidgets","100189e0","Function","1","Toshi::TGUIStyle::UpdateDependentWidgets","void","void UpdateDependentWidgets(TGUIStyle * this)"
"?UpdateDependentWidgets@TGUIStyle@Toshi@@IAEXXZ","100189e0","Function","1","Toshi::TGUIStyle::UpdateDependentWidgets","","?UpdateDependentWidgets@TGUIStyle@Toshi@@IAEXXZ"
"Ordinal_463","10018a50","Function","2","Toshi::TGUIStyle::DeserialiseRootComponents","","Ordinal_463"
"DeserialiseRootComponents","10018a50","Function","2","Toshi::TGUIStyle::DeserialiseRootComponents","bool","bool DeserialiseRootComponents(TGUIStyle * this\, PProperties * param_1)"
"?DeserialiseRootComponents@TGUIStyle@Toshi@@AAE_NPBVPProperties@@@Z","10018a50","Function","2","Toshi::TGUIStyle::DeserialiseRootComponents","","?DeserialiseRootComponents@TGUIStyle@Toshi@@AAE_NPBVPProperties@@@Z"
"Ordinal_467","10018bb0","Function","3","Toshi::TGUIStyle::DeserialiseStates","","Ordinal_467"
