"Name","Location","Type","Param Count","Function Name","Data Type","Preview"
"Ordinal_1039","1000a410","Function","2","Toshi::TAnimation::SetSpeed","","Ordinal_1039"
"SetSpeed","1000a410","Function","2","Toshi::TAnimation::SetSpeed","float","float SetSpeed(TAnimation * this\, float param_1)"
"?SetSpeed@TAnimation@Toshi@@QAEMM@Z","1000a410","Function","2","Toshi::TAnimation::SetSpeed","","?SetSpeed@TAnimation@Toshi@@QAEMM@Z"
"Ordinal_999","1000a420","Function","2","Toshi::TAnimation::SetMode","","Ordinal_999"
"SetMode","1000a420","Function","2","Toshi::TAnimation::SetMode","void","void SetMode(TAnimation * this\, MODE param_1)"
"?SetMode@TAnimation@Toshi@@QAEXW4MODE@12@@Z","1000a420","Function","2","Toshi::TAnimation::SetMode","","?SetMode@TAnimation@Toshi@@QAEXW4MODE@12@@Z"
"Ordinal_871","1000a430","Function","1","Toshi::TAnimation::IsUpdateStateOnRemove","","Ordinal_871"
"IsUpdateStateOnRemove","1000a430","Function","1","Toshi::TAnimation::IsUpdateStateOnRemove","bool","bool IsUpdateStateOnRemove(TAnimation * this)"
"?IsUpdateStateOnRemove@TAnimation@Toshi@@QAE_NXZ","1000a430","Function","1","Toshi::TAnimation::IsUpdateStateOnRemove","","?IsUpdateStateOnRemove@TAnimation@Toshi@@QAE_NXZ"
"Ordinal_858","1000a450","Function","1","Toshi::TAnimation::IsManaged","","Ordinal_858"
"IsManaged","1000a450","Function","1","Toshi::TAnimation::IsManaged","bool","bool IsManaged(TAnimation * this)"
"?IsManaged@TAnimation@Toshi@@QAE_NXZ","1000a450","Function","1","Toshi::TAnimation::IsManaged","","?IsManaged@TAnimation@Toshi@@QAE_NXZ"
"Ordinal_831","1000a470","Function","1","Toshi::TAnimation::IsActive","","Ordinal_831"
"IsActive","1000a470","Function","1","Toshi::TAnimation::IsActive","bool","bool IsActive(TAnimation * this)"
"?IsActive@TAnimation@Toshi@@QAE_NXZ","1000a470","Function","1","Toshi::TAnimation::IsActive","","?IsActive@TAnimation@Toshi@@QAE_NXZ"
"Ordinal_169","1000a490","Function","2","Toshi::TAnimationBone::operator=","","Ordinal_169"
"operator=","1000a490","Function","2","Toshi::TAnimationBone::operator=","TAnimationBone *","TAnimationBone * operator=(TAnimationBone * this\, TAnimationBone * param_1)"
