"Name","Location","Type","Param Count","Function Name","Data Type","Preview"
"?DeinitialiseStatic@TIndexBlockResource@Toshi@@CGXXZ","1000b310","Function","0","Toshi::TIndexBlockResource::DeinitialiseStatic","","?DeinitialiseStatic@TIndexBlockResource@Toshi@@CGXXZ"
"Ordinal_221","1000b320","Function","0","Toshi::TIndexBlockResource::InitialiseStatic","","Ordinal_221"
"InitialiseStatic","1000b320","Function","0","Toshi::TIndexBlockResource::InitialiseStatic","void","void InitialiseStatic(void)"
"?InitialiseStatic@TIndexBlockResource@Toshi@@CGXXZ","1000b320","Function","0","Toshi::TIndexBlockResource::InitialiseStatic","","?InitialiseStatic@TIndexBlockResource@Toshi@@CGXXZ"
"Ordinal_105","1000b330","Function","1","Toshi::TIndexBlockResource::CreateObjectInPlace","","Ordinal_105"
"CreateObjectInPlace","1000b330","Function","1","Toshi::TIndexBlockResource::CreateObjectInPlace","TObject *","TObject * CreateObjectInPlace(void * param_1)"
"?CreateObjectInPlace@TIndexBlockResource@Toshi@@CGPAVTObject@2@PAX@Z","1000b330","Function","1","Toshi::TIndexBlockResource::CreateObjectInPlace","","?CreateObjectInPlace@TIndexBlockResource@Toshi@@CGPAVTObject@2@PAX@Z"
"Ordinal_97","1000b350","Function","0","Toshi::TIndexBlockResource::CreateObject","","Ordinal_97"
"CreateObject","1000b350","Function","0","Toshi::TIndexBlockResource::CreateObject","TObject *","TObject * CreateObject(void)"
"?CreateObject@TIndexBlockResource@Toshi@@CGPAVTObject@2@XZ","1000b350","Function","0","Toshi::TIndexBlockResource::CreateObject","","?CreateObject@TIndexBlockResource@Toshi@@CGPAVTObject@2@XZ"
"Ordinal_153","1000b380","Function","1","Toshi::TIndexBlockResource::GetClass","","Ordinal_153"
"GetClass","1000b380","Function","1","Toshi::TIndexBlockResource::GetClass","TClass *","TClass * GetClass(TIndexBlockResource * this)"
"?GetClass@TIndexBlockResource@Toshi@@UBEAAVTClass@2@XZ","1000b380","Function","1","Toshi::TIndexBlockResource::GetClass","","?GetClass@TIndexBlockResource@Toshi@@UBEAAVTClass@2@XZ"
"Ordinal_1","1000b390","Function","2","Toshi::TIndexBlockResource::TIndexBlockResource","","Ordinal_1"
"TIndexBlockResource","1000b390","Function","2","Toshi::TIndexBlockResource::TIndexBlockResource","undefined","undefined TIndexBlockResource(TIndexBlockResource * this\, TIndexBlockResource * param_1)"
"??0TIndexBlockResource@Toshi@@QAE@ABV01@@Z","1000b390","Function","2","Toshi::TIndexBlockResource::TIndexBlockResource","","??0TIndexBlockResource@Toshi@@QAE@ABV01@@Z"
"Ordinal_178","1000b3f0","Function","0","Toshi::TIndexBlockResource::GetFreeList","","Ordinal_178"
"GetFreeList","1000b3f0","Function","0","Toshi::TIndexBlockResource::GetFreeList","TFreeList *","TFreeList * GetFreeList(void)"
"?GetFreeList@TIndexBlockResource@Toshi@@SGAAVTFreeList@2@XZ","1000b3f0","Function","0","Toshi::TIndexBlockResource::GetFreeList","","?GetFreeList@TIndexBlockResource@Toshi@@SGAAVTFreeList@2@XZ"
"Ordinal_40","1000b400","Function","1","Toshi::TIndexBlockResource::operator_delete","","Ordinal_40"
"operator_delete","1000b400","Function","1","Toshi::TIndexBlockResource::operator_delete","void","void operator_delete(void * param_1)"
"??3TIndexBlockResource@Toshi@@SGXPAX@Z","1000b400","Function","1","Toshi::TIndexBlockResource::operator_delete","","??3TIndexBlockResource@Toshi@@SGXPAX@Z"
"Ordinal_33","1000b420","Function","2","Toshi::TIndexBlockResource::operator_new","","Ordinal_33"
"operator_new","1000b420","Function","2","Toshi::TIndexBlockResource::operator_new","void *","void * operator_new(uint param_1\, void * param_2)"
"??2TIndexBlockResource@Toshi@@SGPAXIPAX@Z","1000b420","Function","2","Toshi::TIndexBlockResource::operator_new","","??2TIndexBlockResource@Toshi@@SGPAXIPAX@Z"
"Ordinal_31","1000b430","Function","1","Toshi::TIndexBlockResource::operator_new","","Ordinal_31"
"operator_new","1000b430","Function","1","Toshi::TIndexBlockResource::operator_new","void *","void * operator_new(uint param_1)"
"??2TIndexBlockResource@Toshi@@SGPAXI@Z","1000b430","Function","1","Toshi::TIndexBlockResource::operator_new","","??2TIndexBlockResource@Toshi@@SGPAXI@Z"
"Ordinal_32","1000b450","Function","3","Toshi::TIndexBlockResource::operator_new","","Ordinal_32"
"operator_new","1000b450","Function","3","Toshi::TIndexBlockResource::operator_new","void *","void * operator_new(uint param_1\, char * param_2\, int param_3)"
"??2TIndexBlockResource@Toshi@@SGPAXIPADH@Z","1000b450","Function","3","Toshi::TIndexBlockResource::operator_new","","??2TIndexBlockResource@Toshi@@SGPAXIPADH@Z"
"this_1000b470","1000b470","Instruction Label","","","","this_1000b470"
"FUN_1000b5c0","1000b5c0","Function","3","FUN_1000b5c0","int *","int * FUN_1000b5c0(void * this\, ushort param_1\, uint param_2)"
"FUN_1000b650","1000b650","Function","3","FUN_1000b650","TResource *","TResource * FUN_1000b650(void * this\, ushort param_1\, uint param_2)"
"FUN_1000b730","1000b730","Function","2","FUN_1000b730","undefined4","undefined4 FUN_1000b730(void * this\, TIndexPoolResourceInterface * param_1)"
"FUN_1000b780","1000b780","Function","1","FUN_1000b780","undefined","undefined FUN_1000b780(undefined4 * param_1)"
"Ordinal_304","1000b970","Function","1","Toshi::TIndexPoolResource::Validate","","Ordinal_304"
"Validate","1000b970","Function","1","Toshi::TIndexPoolResource::Validate","bool","bool Validate(TIndexPoolResource * this)"
"?Validate@TIndexPoolResource@Toshi@@UAE_NXZ","1000b970","Function","1","Toshi::TIndexPoolResource::Validate","","?Validate@TIndexPoolResource@Toshi@@UAE_NXZ"
"Ordinal_230","1000bab0","Function","1","Toshi::TIndexPoolResource::Invalidate","","Ordinal_230"
"Invalidate","1000bab0","Function","1","Toshi::TIndexPoolResource::Invalidate","void","void Invalidate(TIndexPoolResource * this)"
"?Invalidate@TIndexPoolResource@Toshi@@UAEXXZ","1000bab0","Function","1","Toshi::TIndexPoolResource::Invalidate","","?Invalidate@TIndexPoolResource@Toshi@@UAEXXZ"
"Ordinal_246","1000bb50","Function","2","Toshi::TIndexPoolResource::Lock","","Ordinal_246"
"Lock","1000bb50","Function","2","Toshi::TIndexPoolResource::Lock","bool","bool Lock(TIndexPoolResource * this\, LockBuffer * param_1)"
"?Lock@TIndexPoolResource@Toshi@@UAE_NPAVLockBuffer@TIndexPoolResourceInterface@2@@Z","1000bb50","Function","2","Toshi::TIndexPoolResource::Lock","","?Lock@TIndexPoolResource@Toshi@@UAE_NPAVLockBuffer@TIndexPoolResourceInterface@2@@Z"
"Ordinal_295","1000bd20","Function","2","Toshi::TIndexPoolResource::Unlock","","Ordinal_295"
"Unlock","1000bd20","Function","2","Toshi::TIndexPoolResource::Unlock","void","void Unlock(TIndexPoolResource * this\, ushort param_1)"
"?Unlock@TIndexPoolResource@Toshi@@UAEXG@Z","1000bd20","Function","2","Toshi::TIndexPoolResource::Unlock","","?Unlock@TIndexPoolResource@Toshi@@UAEXG@Z"
"Ordinal_192","1000bf70","Function","1","Toshi::TIndexPoolResource::GetManagedBuffer","","Ordinal_192"
"GetManagedBuffer","1000bf70","Function","1","Toshi::TIndexPoolResource::GetManagedBuffer","ushort *","ushort * GetManagedBuffer(TIndexPoolResource * this)"
"?GetManagedBuffer@TIndexPoolResource@Toshi@@QAEPAGXZ","1000bf70","Function","1","Toshi::TIndexPoolResource::GetManagedBuffer","","?GetManagedBuffer@TIndexPoolResource@Toshi@@QAEPAGXZ"
"Ordinal_183","1000bfd0","Function","2","Toshi::TIndexPoolResource::GetHAL","","Ordinal_183"
"GetHAL","1000bfd0","Function","2","Toshi::TIndexPoolResource::GetHAL","bool","bool GetHAL(TIndexPoolResource * this\, HALBuffer * param_1)"
"?GetHAL@TIndexPoolResource@Toshi@@QAE_NPAVHALBuffer@TIndexBlockResource@2@@Z","1000bfd0","Function","2","Toshi::TIndexPoolResource::GetHAL","","?GetHAL@TIndexPoolResource@Toshi@@QAE_NPAVHALBuffer@TIndexBlockResource@2@@Z"
"Ordinal_188","1000c0a0","Function","1","Toshi::TIndexPoolResource::GetIndexBlock","","Ordinal_188"
"GetIndexBlock","1000c0a0","Function","1","Toshi::TIndexPoolResource::GetIndexBlock","TIndexBlockResource *","TIndexBlockResource * GetIndexBlock(TIndexPoolResource * this)"
"?GetIndexBlock@TIndexPoolResource@Toshi@@QAEPAVTIndexBlockResource@2@XZ","1000c0a0","Function","1","Toshi::TIndexPoolResource::GetIndexBlock","","?GetIndexBlock@TIndexPoolResource@Toshi@@QAEPAVTIndexBlockResource@2@XZ"
"Ordinal_73","1000c130","Function","4","Toshi::TIndexPoolResource::Create","","Ordinal_73"
"Create","1000c130","Function","4","Toshi::TIndexPoolResource::Create","bool","bool Create(TIndexPoolResource * this\, TIndexFactoryResourceInterface * param_1\, uint param_2\, uint param_3)"
