"Name","Location","Type","Param Count","Function Name","Data Type","Preview"
"Ordinal_120","10023ce0","Function","5","Toshi::TQuaternion::TQuaternion","","Ordinal_120"
"TQuaternion","10023ce0","Function","5","Toshi::TQuaternion::TQuaternion","undefined","undefined TQuaternion(TQuaternion * this\, float param_1\, float param_2\, float param_3\, float param_4)"
"??0TQuaternion@Toshi@@QAE@MMMM@Z","10023ce0","Function","5","Toshi::TQuaternion::TQuaternion","","??0TQuaternion@Toshi@@QAE@MMMM@Z"
"Ordinal_121","10023d00","Function","1","Toshi::TQuaternion::TQuaternion","","Ordinal_121"
"TQuaternion","10023d00","Function","1","Toshi::TQuaternion::TQuaternion","undefined","undefined TQuaternion(TQuaternion * this)"
"??0TQuaternion@Toshi@@QAE@XZ","10023d00","Function","1","Toshi::TQuaternion::TQuaternion","","??0TQuaternion@Toshi@@QAE@XZ"
"Ordinal_73","10023d10","Function","2","Toshi::TMemFileSystem::TMemFileSystem","","Ordinal_73"
"TMemFileSystem","10023d10","Function","2","Toshi::TMemFileSystem::TMemFileSystem","undefined","undefined TMemFileSystem(TMemFileSystem * this\, char * param_1)"
"??0TMemFileSystem@Toshi@@QAE@PBD@Z","10023d10","Function","2","Toshi::TMemFileSystem::TMemFileSystem","","??0TMemFileSystem@Toshi@@QAE@PBD@Z"
"Ordinal_214","10023dd0","Function","1","Toshi::TMemFileSystem::~TMemFileSystem","","Ordinal_214"
"~TMemFileSystem","10023dd0","Function","1","Toshi::TMemFileSystem::~TMemFileSystem","void","void ~TMemFileSystem(TMemFileSystem * this)"
"??1TMemFileSystem@Toshi@@UAE@XZ","10023dd0","Function","1","Toshi::TMemFileSystem::~TMemFileSystem","","??1TMemFileSystem@Toshi@@UAE@XZ"
"Ordinal_656","10023e30","Function","3","Toshi::TMemFileSystem::CreateFile","","Ordinal_656"
"CreateFile","10023e30","Function","3","Toshi::TMemFileSystem::CreateFile","TFile *","TFile * CreateFile(TMemFileSystem * this\, TCString * param_1\, uint param_2)"
