"Name","Location","FunctionSignature","FunctionSize"
"IsTextureFormatSupported","10006950","bool IsTextureFormatSupported(TRenderD3DInterface * this\, _D3DFORMAT param_1)","117"
"Supports32BitTextures","100069d0","bool Supports32BitTextures(TRenderD3DInterface * this)","50"
"Create","10006a10","bool Create(TRenderD3DInterface * this\, TKernelInterface * param_1)","305"
"Destroy","10006b50","bool Destroy(TRenderD3DInterface * this)","240"
"RenderIndexPrimitive","10006c40","void RenderIndexPrimitive(TRenderD3DInterface * this\, PRIMITIVETYPE param_1\, uint param_2\, uint param_3\, ushort * param_4\, void * param_5\, ushort param_6)","416"
"TD3DAssert","10006de0","void TD3DAssert(long param_1\, char * param_2)","167"
"CreateRenderContext","10006e90","TRenderContext * CreateRenderContext(TRenderD3DInterface * this)","106"
"ConnectDefaultViewportHandlers","10006f00","void ConnectDefaultViewportHandlers(TRenderD3DInterface * this\, TViewport * param_1)","158"
"Clear","10006fa0","void Clear(TRenderD3DInterface * this\, uint param_1\, uint param_2\, uint param_3\, uint param_4\, uint a_uiFlags\, uchar param_6\, uchar param_7\, uchar param_8\, float a_fDepthVal\, uint param_10)","329"
"DestroyCapture","10007100","void DestroyCapture(TRenderD3DInterface * this\, TRenderCapture * a_pRenderCapture)","88"
"LoadAndAssembleShader","10007160","long LoadAndAssembleShader(char * param_1\, char * param_2\, ID3DXBuffer * * param_3)","258"
"SetTextureAddressMode","10007270","void SetTextureAddressMode(TRenderD3DInterface * this\, uint param_1\, uint param_2)","232"
"UpdateColourSettings","10007360","void UpdateColourSettings(TRenderD3DInterface * this)","57"
"IsCapableColourCorrection","100073a0","bool IsCapableColourCorrection(TRenderD3DInterface * this)","122"
"EnableColourCorrection","10007420","void EnableColourCorrection(TRenderD3DInterface * this\, bool param_1)","43"
"CreateModel","10007450","TModel * CreateModel(TRenderD3DInterface * this\, char * param_1\, bool param_2)","161"
"LoadShaders","10007500","bool LoadShaders(TRenderD3DInterface * this)","679"
"SetDefaultRenderStates","100077c0","void SetDefaultRenderStates(TRenderD3DInterface * this)","128"
"TransformGamma","10007840","float TransformGamma(TRenderD3DInterface * this\, float param_1\, float param_2)","157"
"ComputeTables","100078e0","void ComputeTables(TRenderD3DInterface * this)","1024"
"BuildAdapterDatabase","10007d20","void BuildAdapterDatabase(TRenderD3DInterface * this)","556"
"CreateAcceleratorTableA","10007f50","void CreateAcceleratorTableA(TRenderD3DInterface * this)","81"
"DestroyAcceleratorTable","10008010","void DestroyAcceleratorTable(TRenderD3DInterface * this)","32"
"DestroyAdapterDatabase","10008030","void DestroyAdapterDatabase(TRenderD3DInterface * this)","172"
"GetNumAdapters","10008100","int GetNumAdapters(TRenderD3DInterface * this)","10"
"TransformBrightness","10008110","float TransformBrightness(TRenderD3DInterface * this\, float param_1\, float param_2)","44"
"TransformContrast","10008140","float TransformContrast(TRenderD3DInterface * this\, float param_1\, float param_2)","83"
"GetCurrentColourRamp","100081a0","_D3DGAMMARAMP * GetCurrentColourRamp(TRenderD3DInterface * this)","20"
"UnloadShaders","100081c0","void UnloadShaders(TRenderD3DInterface * this)","1"
"IsColourCorrection","100081d0","bool IsColourCorrection(TRenderD3DInterface * this)","8"
"ForceEnableColourCorrection","100081e0","void ForceEnableColourCorrection(TRenderD3DInterface * this\, bool param_1)","13"
"SetSaturate","100081f0","void SetSaturate(TRenderD3DInterface * this\, float param_1)","42"
"SetGamma","10008220","void SetGamma(TRenderD3DInterface * this\, float param_1)","42"
"SetBrightness","10008250","void SetBrightness(TRenderD3DInterface * this\, float param_1)","42"
"SetContrast","10008280","void SetContrast(TRenderD3DInterface * this\, float param_1)","42"
"CreateCapture","100082b0","TRenderCapture * CreateCapture(TRenderD3DInterface * this)","40"
"D3DGetErrorString","100082e0","char * D3DGetErrorString(long param_1)","17"
"D3DGetErrorDescriptionString","10008300","char * D3DGetErrorDescriptionString(long param_1)","17"
"GetD3DDepthStencilFormat","10008320","_D3DFORMAT GetD3DDepthStencilFormat(TRenderD3DInterface * this\, DEPTHSTENCILFORMAT param_1)","14"
"Exit","10008330","void Exit(TRenderD3DInterface * this)","8"
"GetAcceleratorTable","10008340","HACCEL__ * GetAcceleratorTable(TRenderD3DInterface * this)","7"
"GetMSWindow","10008350","TMSWindow * GetMSWindow(TRenderD3DInterface * this\, undefined param_1)","9"
"SetPixelAspectRatio","10008360","bool SetPixelAspectRatio(TRenderD3DInterface * this\, float param_1)","18"
"GetPixelAspectRatio","10008380","float GetPixelAspectRatio(TRenderD3DInterface * this)","7"
"GetCurrentDisplayParams","10008390","DisplayParams * GetCurrentDisplayParams(TRenderD3DInterface * this)","9"
"GetCurrentDevice","100083a0","Device * GetCurrentDevice(TRenderD3DInterface * this)","7"
"~TRenderD3DInterface","100083b0","void ~TRenderD3DInterface(TRenderD3DInterface * this)","37"
"DeinitialiseStatic","100083e0","void DeinitialiseStatic(void)","1"
"InitialiseStatic","100083f0","void InitialiseStatic(void)","1"
"CreateObjectInPlace","10008400","TObject * CreateObjectInPlace(void * param_1)","26"
"CreateObject","10008420","TObject * CreateObject(void)","40"
"GetClass","10008450","TClass * GetClass(TRenderD3DInterface * this)","6"
"TVertexBlockResource","10008470","undefined TVertexBlockResource(TVertexBlockResource * this\, TVertexBlockResource * param_1)","137"
"GetFreeList","10008500","TFreeList * GetFreeList(void)","6"
"operator_delete","10008510","void operator_delete(void * param_1)","19"
"operator_new","10008530","void * operator_new(uint param_1\, void * param_2)","7"
"operator_new","10008540","void * operator_new(uint param_1)","19"
"operator_new","10008560","void * operator_new(uint param_1\, char * param_2\, int param_3)","19"
"TVertexBlockResource","10008870","undefined TVertexBlockResource(TVertexBlockResource * this)","76"
"Create","100088c0","bool Create(TVertexBlockResource * this\, TVertexFactoryResource * a_pFactory\, ushort param_2\, uint param_3)","151"
"Validate","10008960","bool Validate(TVertexBlockResource * this)","302"
"Invalidate","10008aa0","void Invalidate(TVertexBlockResource * this)","92"
"AttachPool","10008b00","bool AttachPool(TVertexBlockResource * this\, TVertexPoolResource * param_1)","120"
"DetachPool","10008b80","bool DetachPool(TVertexBlockResource * this\, TVertexPoolResource * param_1)","494"
"CanFit","10008d80","bool CanFit(TVertexBlockResource * this\, TVertexPoolResource * param_1)","88"
"GetHAL","10008de0","bool GetHAL(TVertexBlockResource * this\, HALBuffer * param_1)","170"
"ChildVertexUsedChanged","10008e90","void ChildVertexUsedChanged(TVertexBlockResource * this\, int a_iChange)","92"
"Lock","10008f00","bool Lock(TVertexBlockResource * this\, LockBuffer * param_1\, ushort param_2)","475"
"Unlock","100090e0","void Unlock(TVertexBlockResource * this)","175"
"CreateHAL","100091a0","bool CreateHAL(TVertexBlockResource * this)","352"
"DestroyHAL","10009300","void DestroyHAL(TVertexBlockResource * this)","310"
"IsLocked","100094d0","bool IsLocked(TVertexBlockResource * this)","16"
"GetFlags","100094e0","uint GetFlags(TVertexBlockResource * this)","4"
"GetVerticesUsed","100094f0","uint GetVerticesUsed(TVertexBlockResource * this)","4"
"GetMaxVertices","10009500","ushort GetMaxVertices(TVertexBlockResource * this)","5"
"GetFactory","10009510","TVertexFactoryResource * GetFactory(TVertexBlockResource * this)","4"
"~TVertexBlockResource","10009520","void ~TVertexBlockResource(TVertexBlockResource * this)","13"
"DeinitialiseStatic","10009530","void DeinitialiseStatic(void)","1"
"InitialiseStatic","10009540","void InitialiseStatic(void)","1"
"CreateObjectInPlace","10009550","TObject * CreateObjectInPlace(void * param_1)","26"
"CreateObject","10009570","TObject * CreateObject(void)","35"
"GetClass","100095a0","TClass * GetClass(TVertexBlockResource * this)","6"
"RecurseCallback","100095b0","undefined4 RecurseCallback(TVertexBlockResource * param_1\, TVertexBlockResource * * param_2)","97"
"Create","100096a0","undefined Create(TVertexFactoryResource * this\, TVertexFactoryFormat * param_1\, ushort param_2\, uint param_3)","99"
"CreatePoolResource","10009710","int * CreatePoolResource(TVertexFactoryResource * this\, ushort param_1\, uint param_2)","136"
"CreateBlockResource","100097a0","TResource * CreateBlockResource(TVertexFactoryResource * this\, ushort param_1\, uint param_2)","122"
"FindBlockResource","10009880","undefined4 FindBlockResource(TVertexFactoryResource * this\, TVertexPoolResourceInterface * param_1)","73"
"FUN_100098d0","100098d0","undefined FUN_100098d0(undefined4 * param_1)","13"
"FUN_100098e0","100098e0","undefined4 * FUN_100098e0(undefined4 * param_1)","22"
"TVertexPoolResource","10009ab0","undefined TVertexPoolResource(TVertexPoolResource * this)","54"
"Validate","10009af0","bool Validate(TVertexPoolResource * this)","318"
"Invalidate","10009c30","void Invalidate(TVertexPoolResource * this)","157"
"Lock","10009cd0","bool Lock(TVertexPoolResource * this\, LockBuffer * param_1)","647"
"Unlock","10009f60","void Unlock(TVertexPoolResource * this\, ushort param_1)","552"
"GetManagedStream","1000a1b0","uchar * GetManagedStream(TVertexPoolResource * this\, uint param_1)","171"
"GetHAL","1000a260","bool GetHAL(TVertexPoolResource * this\, HALBuffer * param_1)","201"
"GetVertexBlock","1000a330","TVertexBlockResource * GetVertexBlock(TVertexPoolResource * this)","124"
"Create","1000a3c0","bool Create(TVertexPoolResource * this\, TVertexFactoryResourceInterface * param_1\, uint param_2\, uint param_3)","308"
"OnDestroy","1000a500","void OnDestroy(TVertexPoolResource * this)","107"
"GetFactory","1000a5d0","TVertexFactoryResource * GetFactory(TVertexPoolResource * this)","4"
"~TVertexPoolResource","1000a5e0","void ~TVertexPoolResource(TVertexPoolResource * this)","13"
"DeinitialiseStatic","1000a5f0","void DeinitialiseStatic(void)","1"
"InitialiseStatic","1000a600","void InitialiseStatic(void)","1"
"CreateObjectInPlace","1000a610","TObject * CreateObjectInPlace(void * param_1)","26"
"CreateObject","1000a630","TObject * CreateObject(void)","40"
"GetClass","1000a660","TClass * GetClass(TVertexPoolResource * this)","6"
"FUN_1000a7b0","1000a7b0","undefined * * FUN_1000a7b0(void * this\, int param_1)","117"
"TIndexBlockResource","1000a830","undefined TIndexBlockResource(TIndexBlockResource * this)","52"
"Create","1000a870","bool Create(TIndexBlockResource * this\, TIndexFactoryResource * param_1\, ushort param_2\, uint param_3)","151"
"Validate","1000a910","bool Validate(TIndexBlockResource * this)","281"
"Invalidate","1000aa30","void Invalidate(TIndexBlockResource * this)","92"
"AttachPool","1000aa90","bool AttachPool(TIndexBlockResource * this\, TIndexPoolResource * param_1)","120"
"DetachPool","1000ab10","bool DetachPool(TIndexBlockResource * this\, TIndexPoolResource * param_1)","530"
"CanFit","1000ad30","bool CanFit(TIndexBlockResource * this\, TIndexPoolResource * param_1)","103"
"GetHAL","1000ada0","bool GetHAL(TIndexBlockResource * this\, HALBuffer * param_1)","122"
"ChildIndexUsedChanged","1000ae20","void ChildIndexUsedChanged(TIndexBlockResource * this\, int param_1)","92"
"Lock","1000ae90","bool Lock(TIndexBlockResource * this\, LockBuffer * param_1\, ushort param_2)","383"
"Unlock","1000b020","void Unlock(TIndexBlockResource * this)","131"
"CreateHAL","1000b0b0","bool CreateHAL(TIndexBlockResource * this)","184"
"DestroyHAL","1000b170","void DestroyHAL(TIndexBlockResource * this)","163"
"IsLocked","1000b2b0","bool IsLocked(TIndexBlockResource * this)","16"
"GetFlags","1000b2c0","uint GetFlags(TIndexBlockResource * this)","4"
"GetIndicesUsed","1000b2d0","uint GetIndicesUsed(TIndexBlockResource * this)","4"
"GetMaxIndices","1000b2e0","ushort GetMaxIndices(TIndexBlockResource * this)","5"
"GetFactory","1000b2f0","TIndexFactoryResource * GetFactory(TIndexBlockResource * this)","4"
"~TIndexBlockResource","1000b300","void ~TIndexBlockResource(TIndexBlockResource * this)","13"
"DeinitialiseStatic","1000b310","void DeinitialiseStatic(void)","1"
"InitialiseStatic","1000b320","void InitialiseStatic(void)","1"
"CreateObjectInPlace","1000b330","TObject * CreateObjectInPlace(void * param_1)","26"
"CreateObject","1000b350","TObject * CreateObject(void)","35"
"GetClass","1000b380","TClass * GetClass(TIndexBlockResource * this)","6"
"TIndexBlockResource","1000b390","undefined TIndexBlockResource(TIndexBlockResource * this\, TIndexBlockResource * param_1)","89"
"GetFreeList","1000b3f0","TFreeList * GetFreeList(void)","6"
"operator_delete","1000b400","void operator_delete(void * param_1)","19"
"operator_new","1000b420","void * operator_new(uint param_1\, void * param_2)","7"
"operator_new","1000b430","void * operator_new(uint param_1)","19"
"operator_new","1000b450","void * operator_new(uint param_1\, char * param_2\, int param_3)","19"
"FUN_1000b5c0","1000b5c0","int * FUN_1000b5c0(void * this\, ushort param_1\, uint param_2)","136"
"FUN_1000b650","1000b650","TResource * FUN_1000b650(void * this\, ushort param_1\, uint param_2)","122"
"FUN_1000b730","1000b730","undefined4 FUN_1000b730(void * this\, TIndexPoolResourceInterface * param_1)","73"
"FUN_1000b780","1000b780","undefined FUN_1000b780(undefined4 * param_1)","13"
"Validate","1000b970","bool Validate(TIndexPoolResource * this)","318"
"Invalidate","1000bab0","void Invalidate(TIndexPoolResource * this)","157"
"Lock","1000bb50","bool Lock(TIndexPoolResource * this\, LockBuffer * param_1)","453"
"Unlock","1000bd20","void Unlock(TIndexPoolResource * this\, ushort param_1)","552"
"GetManagedBuffer","1000bf70","ushort * GetManagedBuffer(TIndexPoolResource * this)","94"
"GetHAL","1000bfd0","bool GetHAL(TIndexPoolResource * this\, HALBuffer * param_1)","200"
"GetIndexBlock","1000c0a0","TIndexBlockResource * GetIndexBlock(TIndexPoolResource * this)","124"
"Create","1000c130","bool Create(TIndexPoolResource * this\, TIndexFactoryResourceInterface * param_1\, uint param_2\, uint param_3)","211"
"OnDestroy","1000c210","void OnDestroy(TIndexPoolResource * this)","53"
"GetFactory","1000c2b0","TIndexFactoryResource * GetFactory(TIndexPoolResource * this)","4"
"~TIndexPoolResource","1000c2c0","void ~TIndexPoolResource(TIndexPoolResource * this)","13"
"TIndexPoolResource","1000c2d0","undefined TIndexPoolResource(TIndexPoolResource * this)","33"
"DeinitialiseStatic","1000c300","void DeinitialiseStatic(void)","1"
"InitialiseStatic","1000c310","void InitialiseStatic(void)","1"
"CreateObjectInPlace","1000c320","TObject * CreateObjectInPlace(void * param_1)","26"
"CreateObject","1000c340","TObject * CreateObject(void)","40"
