"Name","Location","FunctionSignature","FunctionSize"
"FUN_1003d282","1003d282","undefined8 * FUN_1003d282(undefined8 * param_1\, undefined8 * param_2\, undefined8 * param_3\, undefined8 * param_4\, uint param_5\, uint param_6)","141"
"FUN_1003d30f","1003d30f","undefined FUN_1003d30f(undefined8 * param_1\, undefined8 * param_2\, undefined8 * param_3\, undefined8 * param_4\, undefined8 * param_5\, uint param_6)","146"
"FUN_1003d405","1003d405","undefined FUN_1003d405(undefined8 * param_1\, undefined8 * param_2)","167"
"FUN_1003d5f3","1003d5f3","undefined FUN_1003d5f3(undefined8 * param_1\, undefined8 * param_2\, ulonglong * param_3\, ulonglong * param_4\, ulonglong * param_5\, ulonglong * param_6\, ulonglong * param_7)","2649"
"FUN_1003e734","1003e734","undefined FUN_1003e734(undefined8 * param_1)","57"
"FUN_1003e8f4","1003e8f4","undefined FUN_1003e8f4(ulonglong * param_1\, undefined8 * param_2\, ulonglong * param_3\, ulonglong * param_4\, undefined8 * param_5\, ulonglong * param_6\, undefined8 * param_7)","4504"
"FUN_1003fa8c","1003fa8c","undefined FUN_1003fa8c(undefined8 * param_1\, undefined8 param_2\, undefined8 param_3)","421"
"FUN_10040165","10040165","undefined FUN_10040165(ulonglong * param_1\, ulonglong * param_2)","281"
"FUN_1004065c","1004065c","undefined FUN_1004065c(ulonglong * param_1\, undefined8 * param_2\, ulonglong * param_3\, ulonglong * param_4\, undefined8 * param_5\, ulonglong * param_6\, undefined8 * param_7)","4436"
"FUN_100417b0","100417b0","undefined FUN_100417b0(ulonglong * param_1\, undefined4 * param_2\, ulonglong * param_3)","738"
"FUN_10041e8a","10041e8a","ulonglong * FUN_10041e8a(ulonglong * param_1\, undefined4 * param_2\, ulonglong * param_3)","820"
"FUN_100422b2","100422b2","undefined FUN_100422b2(undefined8 * param_1\, ulonglong * param_2)","95"
"FUN_10042540","10042540","undefined8 * FUN_10042540(undefined8 * param_1\, ulonglong * param_2\, undefined8 * param_3)","139"
"FUN_100425cb","100425cb","undefined8 * FUN_100425cb(undefined8 * param_1\, ulonglong * param_2\, undefined8 * param_3)","455"
"FUN_10042797","10042797","ulonglong * FUN_10042797(ulonglong * param_1\, ulonglong * param_2\, undefined8 * param_3\, ulonglong * param_4\, ulonglong * param_5\, ulonglong * param_6)","186"
"FUN_10042b45","10042b45","ulonglong * FUN_10042b45(ulonglong * param_1\, ulonglong * param_2\, undefined8 * param_3\, ulonglong * param_4\, ulonglong * param_5\, ulonglong * param_6)","307"
"FUN_10043568","10043568","undefined FUN_10043568(undefined8 * param_1\, ulonglong * param_2)","100"
"FUN_1004370b","1004370b","undefined FUN_1004370b(int * param_1\, int param_2\, int * param_3)","107"
"FUN_10043776","10043776","int * FUN_10043776(int param_1\, int param_2\, int param_3)","141"
"FUN_10043803","10043803","undefined FUN_10043803(uint * param_1\, byte * * param_2\, byte * param_3)","1907"
"FUN_10043f9e","10043f9e","undefined4 FUN_10043f9e(int * param_1\, int param_2)","52"
"FUN_10043fd2","10043fd2","undefined FUN_10043fd2(int param_1\, undefined4 * param_2\, uint param_3)","49"
"FUN_10044010","10044010","uint FUN_10044010(uint param_1\, byte * param_2\, uint param_3)","281"
"FUN_1004415b","1004415b","undefined FUN_1004415b(int param_1\, int param_2\, int param_3\, int param_4\, int param_5)","789"
"FUN_10044470","10044470","undefined FUN_10044470(int param_1\, int param_2\, int param_3\, int param_4\, int param_5)","446"
"FUN_1004462e","1004462e","undefined FUN_1004462e(int param_1\, int param_2\, short * param_3\, int * param_4\, int param_5)","61"
"FUN_1004466b","1004466b","undefined FUN_1004466b(int param_1\, int param_2\, undefined8 * param_3\, int param_4\, int param_5)","76"
"FUN_100446b7","100446b7","undefined FUN_100446b7(int param_1\, int param_2\, undefined8 * param_3\, int * param_4\, int param_5)","76"
"FUN_10044703","10044703","undefined FUN_10044703(int param_1\, int param_2\, short * param_3\, int param_4\, int param_5)","993"
"FUN_100450c0","100450c0","undefined FUN_100450c0(uint * param_1\, uint * param_2\, uint * param_3)","492"
"FUN_100457a0","100457a0","undefined FUN_100457a0(void)","232"
"FUN_10045890","10045890","undefined FUN_10045890(uint * param_1\, uint * param_2\, uint * param_3)","329"
"FUN_10045ac0","10045ac0","undefined FUN_10045ac0(void)","245"
"FUN_10045bc0","10045bc0","undefined FUN_10045bc0(void)","247"
"FUN_100461a0","100461a0","undefined FUN_100461a0(void)","275"
"FUN_100462c0","100462c0","undefined FUN_100462c0(void)","277"
"FUN_100466b8","100466b8","undefined FUN_100466b8(undefined param_1\, undefined param_2\, undefined4 param_3\, undefined4 param_4\, int param_5)","52"
"FUN_100466ec","100466ec","undefined FUN_100466ec(undefined * param_1\, byte * * param_2\, int param_3)","1340"
"FUN_10046c50","10046c50","undefined FUN_10046c50(undefined4 param_1\, int param_2)","17"
"FUN_10046c61","10046c61","undefined4 FUN_10046c61(uint * param_1\, uint param_2\, uint param_3\, int param_4\, int param_5\, int * param_6\, int param_7\, uint * param_8\, uint * param_9)","901"
"FUN_10046fe6","10046fe6","int FUN_10046fe6(uint * param_1\, int * param_2\, int * param_3\, int param_4\, int param_5)","127"
"FUN_10047065","10047065","int FUN_10047065(uint param_1\, uint param_2\, uint * param_3\, int * param_4\, int * param_5\, int * param_6\, int * param_7\, int param_8\, int param_9)","259"
"FUN_10047168","10047168","undefined4 FUN_10047168(undefined4 * param_1\, undefined4 * param_2\, undefined4 * param_3\, undefined4 * param_4)","47"
"FUN_10047197","10047197","int FUN_10047197(undefined * param_1\, int param_2\, int param_3)","277"
"FUN_100472ac","100472ac","undefined FUN_100472ac(short * param_1\, short * param_2\, int * param_3\, int param_4\, int param_5\, int param_6)","1122"
"FUN_1004770e","1004770e","undefined FUN_1004770e(undefined8 * param_1\, undefined8 * param_2\, ulonglong * param_3\, int param_4\, int param_5\, int param_6)","1720"
"FUN_10047dc6","10047dc6","undefined FUN_10047dc6(short * param_1\, short * param_2\, short * param_3\, int param_4\, int param_5\, int param_6)","859"
"FUN_10048121","10048121","undefined FUN_10048121(undefined8 * param_1\, ulonglong * param_2\, undefined8 * param_3\, int * param_4\, int param_5\, int param_6)","3539"
"FUN_10048ef4","10048ef4","undefined4 FUN_10048ef4(uint param_1\, uint param_2\, int param_3\, int param_4\, int param_5\, byte * * param_6)","693"
"DXGetErrorString8","100491a9","char * DXGetErrorString8(int param_1)","8938"
"DXGetErrorDescription8","1004e4c5","char * DXGetErrorDescription8(int param_1)","8783"
"FUN_10053803","10053803","int FUN_10053803(char * param_1\, undefined4 param_2\, int param_3\, LPCSTR param_4\, int param_5)","353"
"floor","10053ce2","thunk double floor(double _X)","6"
"operator_delete","10053ce8","thunk void operator_delete(void * param_1)","6"
"FUN_10053cf0","10053cf0","undefined FUN_10053cf0(_onexit_t param_1)","44"
"FUN_10053d1c","10053d1c","int FUN_10053d1c(_onexit_t param_1)","18"
"operator_new","10053d2e","thunk void * operator_new(uint param_1)","6"
"malloc","10053d34","thunk void * malloc(size_t _Size)","6"
"free","10053d3a","thunk void free(void * _Memory)","6"
"FUN_10053d4c","10053d4c","undefined4 FUN_10053d4c(undefined4 param_1\, int param_2)","171"
"entry","10053df7","int entry(HMODULE param_1\, int param_2\, undefined4 param_3)","157"
"FUN_10053ea0","10053ea0","undefined FUN_10053ea0(undefined1 param_1)","47"
"_snprintf","10053ed0","thunk int _snprintf(char * _Dest\, size_t _Count\, char * _Format\, ...)","6"
"FUN_10053edc","10053edc","undefined FUN_10053edc(void)","31"
"FUN_10053efb","10053efb","undefined FUN_10053efb(undefined4 param_1\, undefined4 param_2\, int param_3\, undefined * param_4)","104"
"FUN_10053f63","10053f63","undefined FUN_10053f63(void)","24"
"FUN_10053f7b","10053f7b","undefined FUN_10053f7b(undefined4 param_1\, undefined4 param_2\, int param_3\, undefined * param_4)","81"
"FUN_10053fef","10053fef","undefined FUN_10053fef(undefined4 param_1\, undefined4 param_2\, int param_3\, undefined * param_4)","106"
"FUN_10054059","10054059","undefined FUN_10054059(void)","24"
"_vsnprintf","10054072","thunk int _vsnprintf(char * _Dest\, size_t _Count\, char * _Format\, va_list _Args)","6"
"atoi","10054078","thunk int atoi(char * _Str)","6"
"isdigit","1005407e","thunk int isdigit(int _C)","6"
"isalpha","10054084","thunk int isalpha(int _C)","6"
"isalnum","1005408a","thunk int isalnum(int _C)","6"
"isspace","10054090","thunk int isspace(int _C)","6"
"sscanf","10054096","thunk int sscanf(char * _Src\, char * _Format\, ...)","6"
"_strdup","1005409c","thunk char * _strdup(char * _Src)","6"
"setlocale","100540a2","thunk char * setlocale(int _Category\, char * _Locale)","6"
"longjmp","100540a8","thunk void longjmp(int * _Buf\, int _Value)","6"
"_setjmp3","100540ae","thunk undefined _setjmp3()","6"
"_ftol","100540b4","thunk undefined _ftol()","6"
"_CIpow","100540ba","thunk undefined _CIpow()","6"
"__aullshr","100540c0","ulonglong __aullshr(byte param_1\, uint param_2)","31"
"_CIacos","100540e0","thunk undefined _CIacos()","6"
"_finite","100540e6","thunk int _finite(double _X)","6"
"exit","100540ec","thunk void exit(int _Code)","6"
"sprintf","100540f2","thunk int sprintf(char * _Dest\, char * _Format\, ...)","6"
"calloc","100540f8","thunk void * calloc(size_t _Count\, size_t _Size)","6"
"__dllonexit","1005410a","thunk undefined __dllonexit()","6"
"_initterm","10054110","thunk undefined _initterm()","6"
"FUN_10054116","10054116","undefined4 FUN_10054116(HMODULE param_1\, int param_2)","32"
"Unwind@10054238","10054238","undefined Unwind@10054238(void)","8"
"Unwind@10054240","10054240","undefined Unwind@10054240(void)","8"
"Unwind@10054252","10054252","undefined Unwind@10054252(void)","8"
"Unwind@1005425a","1005425a","undefined Unwind@1005425a(void)","8"
"Unwind@1005426c","1005426c","undefined Unwind@1005426c(void)","11"
"Unwind@10054277","10054277","undefined Unwind@10054277(void)","10"
"Unwind@10054281","10054281","undefined Unwind@10054281(void)","10"
"Unwind@1005428b","1005428b","undefined Unwind@1005428b(void)","10"
"Unwind@10054295","10054295","undefined Unwind@10054295(void)","10"
"Unwind@100542a9","100542a9","undefined Unwind@100542a9(void)","11"
"Unwind@100542be","100542be","undefined Unwind@100542be(void)","8"
"Unwind@100542c6","100542c6","undefined Unwind@100542c6(void)","11"
"Unwind@100542d1","100542d1","undefined Unwind@100542d1(void)","11"
"Unwind@100542dc","100542dc","undefined Unwind@100542dc(void)","11"
"Unwind@100542e7","100542e7","undefined Unwind@100542e7(void)","11"
"Unwind@100542f2","100542f2","undefined Unwind@100542f2(void)","11"
"Unwind@100542fd","100542fd","undefined Unwind@100542fd(void)","11"
"Unwind@10054308","10054308","undefined Unwind@10054308(void)","11"
"Unwind@1005431d","1005431d","undefined Unwind@1005431d(void)","8"
"Unwind@10054325","10054325","undefined Unwind@10054325(void)","11"
"Unwind@10054330","10054330","undefined Unwind@10054330(void)","11"
"Unwind@1005433b","1005433b","undefined Unwind@1005433b(void)","11"
"Unwind@10054346","10054346","undefined Unwind@10054346(void)","11"
"Unwind@10054351","10054351","undefined Unwind@10054351(void)","11"
"Unwind@1005435c","1005435c","undefined Unwind@1005435c(void)","11"
"Unwind@10054367","10054367","undefined Unwind@10054367(void)","11"
"Unwind@1005437c","1005437c","undefined Unwind@1005437c(void)","10"
"Unwind@10054386","10054386","undefined Unwind@10054386(void)","10"
"Unwind@1005439a","1005439a","undefined Unwind@1005439a(void)","8"
"Unwind@100543a2","100543a2","undefined Unwind@100543a2(void)","8"
"Unwind@100543b4","100543b4","undefined Unwind@100543b4(void)","10"
"Unwind@100543be","100543be","undefined Unwind@100543be(void)","10"
"Unwind@100543c8","100543c8","undefined Unwind@100543c8(void)","10"
"Unwind@100543dc","100543dc","undefined Unwind@100543dc(void)","10"
"Unwind@100543f0","100543f0","undefined Unwind@100543f0(void)","10"
"Unwind@100543fa","100543fa","undefined Unwind@100543fa(void)","10"
"Unwind@1005440e","1005440e","undefined Unwind@1005440e(void)","10"
"Unwind@10054418","10054418","undefined Unwind@10054418(void)","10"
"Unwind@1005442c","1005442c","undefined Unwind@1005442c(void)","10"
"Unwind@10054436","10054436","undefined Unwind@10054436(void)","10"
"Unwind@10054440","10054440","undefined Unwind@10054440(void)","10"
"Unwind@10054454","10054454","undefined Unwind@10054454(void)","10"
"Unwind@1005445e","1005445e","undefined Unwind@1005445e(void)","10"
"Unwind@10054468","10054468","undefined Unwind@10054468(void)","10"
"Unwind@1005447c","1005447c","undefined Unwind@1005447c(void)","10"
"Unwind@10054486","10054486","undefined Unwind@10054486(void)","10"
"Unwind@1005449a","1005449a","undefined Unwind@1005449a(void)","10"
"Unwind@100544a4","100544a4","undefined Unwind@100544a4(void)","10"
"Unwind@100544b8","100544b8","undefined Unwind@100544b8(void)","10"
"Unwind@100544c2","100544c2","undefined Unwind@100544c2(void)","10"
"Unwind@100544cc","100544cc","undefined Unwind@100544cc(void)","10"
"Unwind@100544e0","100544e0","undefined Unwind@100544e0(void)","8"
"Unwind@100544f2","100544f2","undefined Unwind@100544f2(void)","10"
"Unwind@10054506","10054506","undefined Unwind@10054506(void)","10"
"Unwind@1005451a","1005451a","undefined Unwind@1005451a(void)","8"
"Unwind@10054522","10054522","undefined Unwind@10054522(void)","10"
"Unwind@10054536","10054536","undefined Unwind@10054536(void)","10"
"Unwind@1005454a","1005454a","undefined Unwind@1005454a(void)","8"
"Unwind@1005455c","1005455c","undefined Unwind@1005455c(void)","10"
"Unwind@10054566","10054566","undefined Unwind@10054566(void)","10"
"Unwind@10054570","10054570","undefined Unwind@10054570(void)","10"
"Unwind@1005457a","1005457a","undefined Unwind@1005457a(void)","10"
"Unwind@10054584","10054584","undefined Unwind@10054584(void)","10"
"Unwind@1005458e","1005458e","undefined Unwind@1005458e(void)","10"
"Unwind@10054598","10054598","undefined Unwind@10054598(void)","10"
"Unwind@100545a2","100545a2","undefined Unwind@100545a2(void)","10"
"Unwind@100545ac","100545ac","undefined Unwind@100545ac(void)","10"
"Unwind@100545b6","100545b6","undefined Unwind@100545b6(void)","10"
"Unwind@100545c0","100545c0","undefined Unwind@100545c0(void)","10"
"Unwind@100545ca","100545ca","undefined Unwind@100545ca(void)","10"
"Unwind@100545d4","100545d4","undefined Unwind@100545d4(void)","10"
"Unwind@100545de","100545de","undefined Unwind@100545de(void)","10"
"Unwind@100545e8","100545e8","undefined Unwind@100545e8(void)","10"
"Unwind@100545f2","100545f2","undefined Unwind@100545f2(void)","10"
"Unwind@100545fc","100545fc","undefined Unwind@100545fc(void)","10"
"Unwind@10054606","10054606","undefined Unwind@10054606(void)","10"
"Unwind@10054610","10054610","undefined Unwind@10054610(void)","10"
"Unwind@1005461a","1005461a","undefined Unwind@1005461a(void)","10"
"Unwind@10054624","10054624","undefined Unwind@10054624(void)","10"
"Unwind@1005462e","1005462e","undefined Unwind@1005462e(void)","10"
"Unwind@10054638","10054638","undefined Unwind@10054638(void)","10"
"Unwind@10054642","10054642","undefined Unwind@10054642(void)","10"
"Unwind@1005464c","1005464c","undefined Unwind@1005464c(void)","10"
"Unwind@10054656","10054656","undefined Unwind@10054656(void)","10"
"Unwind@10054660","10054660","undefined Unwind@10054660(void)","10"
"Unwind@1005466a","1005466a","undefined Unwind@1005466a(void)","10"
"Unwind@10054674","10054674","undefined Unwind@10054674(void)","10"
"Unwind@1005467e","1005467e","undefined Unwind@1005467e(void)","10"
"Unwind@10054688","10054688","undefined Unwind@10054688(void)","10"
"Unwind@10054692","10054692","undefined Unwind@10054692(void)","10"
"Unwind@1005469c","1005469c","undefined Unwind@1005469c(void)","10"
"Unwind@100546a6","100546a6","undefined Unwind@100546a6(void)","10"
"Unwind@100546b0","100546b0","undefined Unwind@100546b0(void)","10"
"Unwind@100546ba","100546ba","undefined Unwind@100546ba(void)","10"
"Unwind@100546c4","100546c4","undefined Unwind@100546c4(void)","10"
"Unwind@100546d8","100546d8","undefined Unwind@100546d8(void)","10"
